0s,1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,11s,12s,13s,14s,15s,16s,17s,18s,19s,20s,21s,22s,23s,24s,25s,26s,27s,28s,29s,30s,31s,32s,33s,34s,35s,36s,37s,38s,39s,40s,41s,42s,43s,44s,45s,46s,47s,48s,49s,50s,51s,52s,53s,54s,55s,56s,57s,58s,59s
2280.2042918584325,2273.5437630140827,2280.3360964060716,2278.4184323871336,2284.7410784886356,2301.0385424626943,2320.0322927733064,2312.0390561911086,2326.817772069586,2260.5931954415883,2285.9231463259707,2280.360547563931,2314.738935277079,2337.7525300660236,2276.403174906829,2298.575688145852,2304.0602323798307,2380.0389558232932,2293.0896000000002,2133.410818486789,2168.1006980148895,2162.066500851976,2168.4801009489242,2182.413603284935,2176.035217176333,2176.289641434263,2169.044578313253,2168.3884462151395,2171.9698699294577,2169.9094283496524,2165.4624872417244,2165.857314608227,2173.0721998336,2173.3545455847425,2174.3284275096776,2173.5,2171.860395740465,2170.839112741307,2174.153748239592,2181.308862459046,2193.292748897144,2192.749389934938,2182.1164860219696,2190.3858432249685,2274.4453194248504,2369.1288037376,2316.0532875010144,2275.452527302145,2288.4556635030567,2278.9376,2280.9107312793244,2272.1868023296,2279.6869733980634,2267.7887996314007,2274.5779116465865,2271.342258044494,2282.162619546851,2300.722765332125,2328.9534632518303,2334.204294112537
2837.098017014113,2390.058312163275,2541.1864527220105,2993.0645305228795,2760.5,2665.568622931335,2896.593024385664,2302.3338782536707,2519.5026720388664,2896.2874407424,2518.3655296468814,2593.378758672063,2678.428353415537,2787.782409868066,2679.745789920528,2471.2565010340545,2721.489567263355,2844.5946131665773,2778.988150973705,2646.4090656465855,2559.323121539383,2662.194202676611,2166.344866255961,2180.2399393675996,2181.1636273451654,2178.8919106604176,2175.621704589682,2176.6282868525896,2178.2088,2182.4125000000004,2182.5184888262092,2179.415015078117,2180.1590000640003,2180.0754792314524,2181.216716571811,2184.348351664652,2183.9964561637794,2188.1108048708375,2186.6444443761093,2178.9066797618866,2178.0611941165334,2320.999630139283,2425.522446342419,2205.4600833871727,2286.1428566054806,2367.999414537027,2541.6328917503997,2673.152082919522,2708.4186179431176,2546.90995870744,2610.933589570874,2772.19414793253,2468.6300969728,2602.01318427879,2764.2992088672663,2536.141681360586,2606.3300552170385,2744.927472682043,2758.1447036352515,2617.634315948852
2371.3247290346517,2370.161075993373,2377.836153562057,2491.1333333333337,2352.784600000614,2194.0359991296,2192.90817563896,2195.623138817141,2191.3998015363563,2189.9301506746433,2193.856168380737,2192.96218887401,2193.160159566534,2191.50805665101,2189.7617382528983,2193.277745239432,2201.2433440259792,2177.760659593311,2197.297600166374,2209.8648057360347,2194.7594990592,2189.7785355467613,2196.6207783014283,2400.369922120754,2341.1936,2215.599999283916,2229.657405361202,2230.2093159625483,2290.453656876147,2263.059558415186,2319.3748892973044,2284.8495914836653,2330.3557318366866,2306.450995819688,2345.6670490896017,2325.5887832576,2345.913031732196,2332.3426294820715,2357.8344,2327.8959847667143,2389.8651635953065,2350.3680580319806,2402.0119385104385,2364.2583803986754,2420.0661485131473,2376.2180855883844,2343.9201216773913,2426.7566589208946,2385.615402925464,2354.013933023773,2308.7338652130848,2362.321729484056,2328.49562486379,2518.5759642754274,2539.8875558868867,2309.6084724098064,2186.7897727272725,2185.0431139457896,2187.560079017655,2192.6978721792334
2362.8508880097334,2288.887064098916,2373.9699922328714,2319.877159653073,2486.628565883871,2171.5742291344754,2174.1682973761326,2170.991083507918,2168.789810380967,2172.744587045039,2173.243013579266,2182.658912332498,2175.1014811320156,2167.2351928814355,2170.630509123477,2167.490745764983,2167.8668679710845,2169.310967164612,2178.984824632573,2177.330402746057,2183.7425300143427,2177.1856421560733,2163.05163848929,2167.3855730872406,2348.7766385385826,2511.291199597074,2183.0238238351103,2208.964039062948,2230.0563980153165,2227.0311316654843,2274.870840549584,2236.741814667218,2276.4697253541244,2268.260160206789,2292.5111531602874,2281.7153654399535,2308.873027124447,2295.3709040818408,2327.0446281093596,2306.777117997338,2332.879919678715,2296.1976167670346,2335.7743583126444,2274.082249834034,2315.2907101184,2275.271173448996,2315.992182037821,2279.978476223295,2358.454635055723,2266.673422451613,2335.8526589897215,2222.4328,2358.4144578313253,2372.075568322506,2333.112702628009,2134.4287823997606,2167.424849446073,2170.110322837247,2162.0338985836793,2169.0409493877146
2335.0022353055247,2566.642513787467,2475.1061745152,2365.970656097585,2782.71067043295,2216.492949699097,2687.474753358219,2631.9227091633466,2309.048227595657,2231.026368281878,2229.832,2234.372,2227.1873380570396,2219.718007747993,2224.549800976566,2221.0320357470064,2224.3230923823294,2223.966101441844,2220.718481564418,2226.5795002112,2227.9844057903383,2216.9779101788918,2221.3518630510766,2222.196446022283,2219.710232710988,2219.174627902066,2229.9804372847348,2227.729365079365,2302.454543056749,2159.8735133390246,2227.891926052926,2277.847530338286,2538.206730489499,2358.2030956821163,2263.341286025417,2588.4504392744466,2472.44744139119,2255.6942393885315,2544.700604036137,2507.905849729526,2289.6296585926184,2598.2111079142824,2451.133734614863,2322.7846063311204,2736.501032594783,2335.2094559239426,2463.5283600210805,2689.7840182606487,2307.8855666688,2535.9552029696,2489.4919774637556,2352.7546380958993,2758.2026341370047,2105.1352651914654,2157.721110709957,2174.143429080421,2180.165405520054,2159.479878500427,2164.937125676599,2160.6470586673863
2313.518787450502,2302.0970755612902,2331.779861045353,2323.4123345156618,2316.1901198575497,2285.0594035428876,2260.1592,2261.8632,2261.9152,2262.17522482479,2259.216132409955,2268.2374620576006,2297.942659065265,2253.459184755722,2211.148616600791,2200.617142857143,2205.7555555555555,2202.598402580235,2203.7696178002907,2203.252,2201.5057597708355,2208.148397114023,2206.002407683388,2207.13166809713,2202.573886678325,2211.3219868711176,2208.2779986690034,2206.4227683127956,2207.3067449631426,2206.287821417214,2204.538250272093,2202.7886791269725,2203.15518745917,2215.247001240796,2232.4664797884648,2249.6859583361334,2709.2941366886366,2277.7368989538463,2169.142928310636,2183.4475173318733,2231.6050920501516,2257.6899486522684,2277.974552120818,2268.3342817448397,2261.2478352125986,2263.368029970089,2255.96153751426,2275.159637094837,2269.4061197145033,2265.5988060467953,2263.900811411059,2264.6166163861667,2260.4300692862384,2270.3566254376547,2265.7509953149947,2262.7328276293597,2261.2702058456193,2268.7896022283094,2271.4363636038142,2269.4706294071134
2176.3826521598307,2175.2175879495244,2173.358823232139,2179.653963211488,2181.6336331189664,2430.180704458964,2361.3385735535294,2189.332338270439,2190.932499712,2506.920831801544,2967.5265777598825,2613.125002900994,2348.2931722164244,2896.7177199717507,2721.0698289616316,2372.2713431034485,2881.9418514214003,2690.45887324615,2394.9170114674057,2889.42421638161,2613.8078446441423,2494.0925246212155,2889.703490927504,2620.8182013447986,2690.60709456864,2720.1285578591132,2526.553568,2894.8105286719983,2675.828225806452,2577.842755162177,2714.539320036225,2554.317425603688,2876.1887129654747,2553.0454846423327,2153.5377251561167,2179.5102104273737,2179.8239215686276,2175.3306206970906,2175.416683120133,2177.1303570285713,2174.025226219139,2173.721236385484,2173.3258964143424,2173.592727066799,2175.231411483917,2172.103468559189,2171.0695430231954,2175.046427936508,2176.0441441718476,2174.4186185789877,2175.2168674698796,2176.6131604920815,2176.079502524466,2269.4427367243893,2242.7991153009575,2181.6372108734017,2194.808790774588,2598.6327235808367,2889.2074614942962,2508.554500059802
2348.448347557146,2334.082782703215,2301.028870331516,2282.3343027183505,2287.085542480824,2293.626494119903,2291.0413173727657,2282.4393398941766,2281.8352915502905,2297.0010004992,2278.8012053292127,2287.7541483241616,2336.0705944393444,2308.8022002649354,2323.3244172288,2323.0468274452483,2201.299403311408,2196.885770245462,2212.9548387096775,2212.002003520898,2206.641524578563,2205.8321110791426,2205.906906823181,2203.414929983478,2202.5772546594303,2208.0918164300924,2206.569069231211,2208.5622489959837,2204.8493504606977,2202.5600600478087,2203.0238762024132,2200.4290321241087,2200.1781013909335,2205.7058654791444,2300.842949283865,2487.5703969624424,2425.6025781469943,2162.815139442231,2120.1963757822436,2161.061144405694,2185.9442972603565,2229.5232920277517,2286.1824953455134,2284.0217043359653,2280.321391239864,2288.6459428386297,2290.487236191549,2285.817758273016,2284.1279408941177,2287.3632206585407,2289.0427712,2287.053372546032,2283.99980043755,2285.654545461598,2283.9719997952,2281.8109452842773,2283.3660334779483,2285.9139860404543,2285.9528758536994,2282.896107879742
2974.4528949441724,2536.551133374995,2335.7079651412037,2932.143668669349,2654.2616013070638,2364.132265669196,2934.7683709272665,2631.7600034981674,2395.7939024390244,2924.864080903224,2513.717770628018,2481.1117647058823,2901.3984117546615,2563.329964955262,2696.4170965279454,2679.693159995668,2509.6888628176707,2939.965446382743,2563.2781468153526,2579.32955465587,2702.3238746996285,2495.807551337052,2918.1855010219497,2433.954318102235,2149.444853606864,2173.235907335907,2166.6699429894484,2165.552360572666,2170.162006376398,2170.67969543543,2170.2,2168.9850450577837,2170.241902961465,2170.2152776126986,2167.3640717075837,2167.4844,2167.760982927084,2169.3026076560673,2168.2732146285716,2168.4201816386226,2170.7370795643424,2167.8671646992025,2165.965970781257,2289.4382060698413,2228.2702881401656,2174.1608563250998,2191.6208056257233,2616.961189079365,2879.669770632258,2464.1076542271103,2491.426298037227,2956.871061520691,2538.4144854231276,2411.317937305646,2931.651357611822,2521.042232104508,2499.3744939271255,2916.3861786447715,2548.255651620873,2604.3945578423627
2227.891926052926,2277.847530338286,2538.206730489499,2358.2030956821163,2263.341286025417,2588.4504392744466,2472.44744139119,2255.6942393885315,2544.700604036137,2507.905849729526,2289.6296585926184,2598.2111079142824,2451.133734614863,2322.7846063311204,2736.501032594783,2335.2094559239426,2463.5283600210805,2689.7840182606487,2307.8855666688,2535.9552029696,2489.4919774637556,2352.7546380958993,2758.2026341370047,2105.1352651914654,2157.721110709957,2174.143429080421,2180.165405520054,2159.479878500427,2164.937125676599,2160.6470586673863,2159.214214589046,2156.472048643626,2153.0679928788236,2159.73589485207,2160.7264939856577,2160.8558118918395,2166.001294661354,2167.732000256,2164.4101795525976,2166.0439350742963,2166.277167630058,2164.470809248555,2179.260484009758,2330.380200054838,2481.4999160999187,2279.973373444057,2172.6120791460853,2279.8391425256204,2401.7986837312656,2584.028538546904,2331.866822143818,2345.91223371859,2648.4428002479,2379.084309876788,2378.9290173546974,2635.8271763917146,2408.542231075697,2458.093650793651,2610.077837074605,2406.7890896261733
